oath_id,author,title,reference,work_type,genre,work_date,date,reference_type,state,swearer,swearee,proposed_by,if_taken,if_refused,if_kept,if_broken,taken,impact,consequences_of_breach,statement,linguistic,gods_invoked,remarks
3032,Isaeus,On the estate of Menecles,39,literary,Orat.,ca.355,378 to 355,Oath,Athens,The speaker and his party; Menecles' brother and his party,The speaker and his party; Menecles' brother and his party,Arbitrators,The dispute will be ended,The dispute will continue,unknown,unknown,yes,see remarks,unknown,"[That in future they would behave properly towards one another, both in words and deeds, as far as lay in their power]","omnu, ork",Aphrodite,"The speaker argues that the oath would not have been necessary if his adoption by Menecles had not been carried out legally, and had he not been recognised as Menecles' heir by his opponents. He asks the jurors why his opponents would have needed to be reconciled with him if he was not legally Menecles' heir. 
See also oath id 3027."
3462,Demosthenes,Against Aristocrates,154,literary,Orat.,352,361 (?) (362 to 360),Oath,Hellespontine Phrygia,Charidemus,Memnon; Mentor,unknown,Their treaty would be formalised,There would not be a treaty,unknown,unknown,yes,see remarks,unknown,[? That he would use his forces in the interests of Memnon and Mentor],ork,unknown,"Euthycles claims that Charidemus hired himself out to the sons-in-law of Artabazus - Memnon and Mentor - and after taking and receiving pledges, ignored and broke his oaths by seizing Scepsis, Cebren and Ilium. These cities were caught off guard because they thought they were dealing with a friend."
190,Euripides,Rhesus,816,literary,Trag.,unknown,mythical time,Oath,Troy,Hector,Second Soldier (Chorus); Leader (Chorus); Third Soldier; Driver of Rhesus' Chariot,n/a,n/a,n/a,unknown,They can regard Hector as a nobody and a coward,yes,Prompts the Chorus to argue in their defence,n/a,"[That the lash and beheading are the fates awaiting soldiers who desert their post]
 εὖ νυν τόδ’ ἴστε—Ζεὺς ὀμώμοται πατήρ—
  ἤτοι μάραγνά γ’ ἢ καρανιστὴς μόρος
  μένει σε δρῶντα τοιάδ’, ἢ τὸν ῞Εκτορα
  τὸ μηδὲν εἶναι καὶ κακὸν νομίζετε.",omwm,ZeusEpithet(s)father,
3198,Isaeus,On the Estate of Pyrrhus,73,literary,Orat.,360-344,360 to 344,Oath,Athens,An imaginary objector,Dikastai,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That Pyrrhus could have adopted another relative and given him the possession of his estate and his daughter]
 Ἀλλὰ νὴ Δία ἄλλον τινὰ ποιησάμενος τῶν συγγενῶν ἔδωκεν ἂν ἔχειν τὸν κλῆρον καὶ τὴν θυγατέρα τὴν ἑαυτοῦ·",nh,Zeus,"In response to this imaginary objection, the speaker points out that Pyrrhus would never have needed to adopt an heir if he had really married the sister of Nicodemus because he could then have adopted one of her grandsons as his heir. The point is that he would not have needed to take the invidious step of choosing a relative to adopt (thus offending those who weren’t chosen), because, having a legitimate daughter with children, he would have had what all would have recognised as the next best thing to a direct male line heir, and could have adopted one of the children without anyone complaining."
3177,Isaeus,On the Estate of Hagnias,35,literary,Orat.,ca.360,ca.360 (365 to 359),Oath,Athens,Theopompus,Dikastai,n/a,n/a,n/a,n/a,n/a,yes,Emphasises the statement,n/a,"[That the charges against him cannot be justified when they concern his own property]
 οὐ μὰ Δί’ οὐκ ἐπὶ τοῖς ἐμοῖς.",ma,Zeus,"Theopompus argues that if he were holding property that belonged to the child the charges against him would be justified, but not when they concern his own property."
,,,,,,,,,,,,,,,,,,,,,,,
3527,Demosthenes,Against Aphobus 3,54,literary,Orat.,362/1,362/1 (362),Oath,Athens,Aphobus,Demosthenes; Witnesses,Demosthenes,His statement will carry more weight,He will not be believed,unknown,Destruction of daughter,no,see remarks,n/a,[That he had not acknowledged that Milyas was free and that he had not testified against Demon],ork,unknown,Demosthenes states that Aphobus refused to give the oath either to himself or the witnesses (see also oath id 3524).
2766,Hypereides,In defence of Euxenippus,40,literary,Orat.,330-324,330 to 324,Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,Zeus; Poseidon; Demeter,"Hypereides says to the jurors, ""when you are on the point of voting, urge the clerk to read out the impeachment law and the Heliastic oath"". He urges them to let the laws govern their decision, and to give their vote according to what seems just and in keeping with their oath. 
For the details of the Heliastic oath see oath id 3494."
3874,Alexis,Mandragorizomene,fr. 149,literary,Comic.,In Callimedon's prominence,(345 to 322),Oath,Athens,Unknown,Unknown,n/a,n/a,n/a,n/a,"That the swearer may be turned into an eel and purchased by Callimedon ""the Crayfish""",yes,strongly emphasizes the statement,n/a,That the speaker does not love any other foreigners more than he does the swearees,self-curse,unknown,"Callimedon (nicknamed after one of his favourite dishes) was a politician and a notorious glutton; so the self-curse here is in effect ""May I be devoured""."
1849,Xenophon,Oeconomicus,1.17.1-2,literary,Dialogue,date uncertain,After the death of Cyrus (401) (401 to 399),Oath,Athens,Critobulus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he is not trying to discuss slaves with Socrates]
 Περὶ δούλων μοι, ἔφη ὁ Σωκράτης,
ἐπιχειρεῖς, ὦ Κριτόβουλε, διαλέγεσθαι;  Οὐ μὰ Δί’, ἔφη,
οὐκ ἔγωγε",ma,Zeus,"Critobulus has just said that there are some people who are in a position, and have the necessary knowledge, to increase their property, but have no wish actually to do so.  Socrates asks him whether he is referring to slaves, and he says no – there are some people of very noble birth who have useful skills but don’t bother to put them to use “precisely because they have no master”."
27,Aristophanes,Clouds,667,literary,Comic.,,423,Oath,Athens,Strepsiades,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That (he thinks) ""alektruaina"" is a nice neologism]
 ἀλεκτρύαιναν; εὖ γε νὴ τὸν Ἀέρα·",nh ton,Air,
2336,Xenophon,Cyropaedia,1.6.28-29,literary,Biogr.,394-353,fictional time,Oath,Persia,Cyrus,Cambyses,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he knows he has learned how to deceive and entrap animals when hunting, but he would be severely punished if he even thought of deceiving a fellow human]
 ἢ οὐ πάντα γιγνώσκεις ταῦτα ὅτι κακουργίαι τέ εἰσι καὶ ἀπάται καὶ δολώσεις καὶ πλεονεξίαι; Ναὶ μὰ Δί’, ἔφη, θηρίων γε· ἀνθρώπων δὲ εἰ καὶ δόξαιμι βούλεσθαι ἐξαπατῆσαί τινα, πολλὰς πληγὰς οἶδα λαμβάνων.","ma, nai",Zeus,Cf. oath id 2335.
606,Aristophanes,Acharnians,599,literary,Comic.,425,425,Oath,Athens,see remarks,see remarks,Amphitheos,Peace for thirty years,Hostilities will continue,unknown,unknown,yes,Peace for thirty years,hostilities continue,[That they will abide by the terms of the agreement],speis,unknown,See oath id 590 for remarks and cross references.
1633,Thucydides,History,3.109.1-2,literary,Hist.,403-395,426/5 (426),Oath,Acarnania,Demosthenes; Commanders,Menedaeus,Menedaeus,The truce would be formalised,There would not be a truce,unknown,unknown,yes,The Peloponnesians departed and were attacked by the Acarnanian soldiers,unknown,[? That they would not molest the Peloponnesians while they withdrew],"speis, spend, spond",unknown,"According to Thucydides, after being defeated in battle by the Athenians and Acarnanians, Menedaius the Spartan commander of the Peloponnesian and Ambraciot army approached Demosthenes the Athenian general regarding a truce for recovering the dead. 
Demosthenes agreed to a secret treaty (without the knowledge of his Acarnanian allies) whereby Menedaius, the Peloponnesian commanders and the Mantinean soldiers could return home. 
Thucydides explicitly states that Demosthenes and the Acarnanian leaders would not openly agree to the retreat of the whole army, but were content with this compromise. 
According to Thucydides, Demosthenes hoped to discredit the Peloponnesians in the region by allowing them to withdraw. 
See also oath id 1634."
1799,Aristotle,Athenaion Politeia,40.2.8,literary,Phil.,335-322,403/2 (403 to 402),Oath,Athens,The Thirty and their followers; Athenians,The Thirty and their followers; Athenians,unknown,Reconciliation would be formalised,There would be no reconciliation,unknown,unknown,yes,Reconciliation,unknown,"[That they would not recall grievances against any citizens except the Thirty <and the Ten> and the Eleven, and not even against any of these who is willing to render account of the office he conducted]",ork,unknown,"Here we are told of an unnamed citizen who began to ignore the terms of the reconciliation agreement (for which see oath id 1796). Archinus persuades the council to execute him without regular trial as an example to show their willingness to abide by their oaths. The man was executed and no one afterwards broke the terms of the reconciliation. 
See also oath id 1900-1902."
256,,IG I(3),"89, 25-36",inscriptional,Public,440s or ca.423 or 417-413?,440s or ca.423 or 417-413? (449 to 413),Oath,Macedon,"Perdiccas; Alcetas, son of Alexander (Perdiccas's brother); Archelaus, son of Perdiccas; Alexander, son of Alcetas; Aeropus, son of Philip; Menelaus, son of Alexander; Agelaus, son of Alcetas; Byrginus, son of Craston; Agerrus, son of Philip; Alexander, son of Pantapon; Eurylochus; Neoptolemus; Eulander; Antigenes; Adimus; Cleander; Lycaeus; Nomenius; Craston; Stadmeas; Nicander; Gaeteas; Callias; Corratas; Meleager; Dirbeas; Arrhabaeus; Limnaeus; Autannius; Callimachus; Derdas of Elimea; Antiochus",Representatives,unknown,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,unknown,unknown,"[? That they have the same friends and enemies as the Athenians, and would be allies to the Athenians forever, without guile and without injury]
 δράσο κα̣[ὶ ἐρο̃ - - - - ]
[- - - καὶ τὸ]ς̣ αὐτὸς φίλος νομιο̃ καὶ ἐχθρ̣[ὸς hόσπερ ἂν Ἀθεναῖοι - - - ]
[- - - πρὸς Ἀθε]ν̣αίος δικαίος καὶ ἀδόλος κα[ὶ ἀβλαβο̃ς - - -]
[- - - κ]ατὰ τὸ δυνατὸν το̃ι δέμοι το̃ι [Ἀθεναίον - - -]
[- - καὶ οὐδένα κο]πέας ἐχσάγεν ἐάσο ἐὰμ μὲ Ἀθενα̣ιον [- - -]
[- - - δ]υ̣ν̣ατὸν hόσοι ἂν ἐθέλοσι [- - -]
[- - -]ιας πρ̣ὸς Ἀθεναίος·","omnu, omos, ork, summac",unknown,"This inscription records an alliance between Athens and Perdiccas, King of Macedon and his allies, and Arrhabaeus the Lyncestian and his allies. 
The terms of the oath are very fragmentary, but it is clear that Perdiccas and the Athenians are to have the same friends and enemies, Athens will have exclusive rights to take timber for oars from Macedon, and the agreement includes peaceful relations between Perdiccas and Arrhabaeus the Lyncestian in its terms. 
It appears that the Athenians compelled the entire Macedonian nobility to swear the oath alongside Perdiccas to ensure his loyalty. Numerous others swore the oath, but their names are too fragmentary to be included in the database. This entry takes into account textual changes from SEG 25.18. 
For other references to alliances between Perdiccas and Athens see oath id 257, 1544, 1546, 1568, 1679, 1682, 1755."
1263,Aristophanes,Geras,fr. 133 K-A,literary,Comic.,409-406,409 to 406,Oath,unknown,unknown,unknown,n/a,n/a,n/a,unknown,unknown,yes,unknown,unknown,"[That the swearer will follow the swearee for a few days]
 {Α.} σὺ δ’ οὐκ ἕπῃ μοι; {Β.} νὴ Δί’, ὀλίγας ἡμέρας.",nh,Zeus,
2859,Plato,Phaedo,98e-99a,literary,Phil.,384-379,399,Oath,Athens,Socrates,Cebes,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That if he didn't think it was right and honourable to submit to whatever penalty his own polis imposed on him, he would long since have escaped to Megara or Boeotia]
 ἐπεὶ νὴ τὸν κύνα, ὡς ἐγᾦμαι, πάλαι ἂν  ταῦτα τὰ νεῦρα καὶ τὰ ὀστᾶ ἢ περὶ Μέγαρα ἢ Βοιωτοὺς ἦν, ὑπὸ δόξης φερόμενα τοῦ βελτίστου, εἰ μὴ δικαιότερον ᾤμην καὶ κάλλιον εἶναι πρὸ τοῦ φεύγειν τε καὶ ἀποδιδράσκειν ὑπέχειν τῇ πόλει δίκην ἥντιν’ ἂν τάττῃ",nh ton,The dog,"It is a Socratic mannerism to swear by ""the dog""- see oath id 2548 with cross references."
1776,Thucydides,History,6.59.4,literary,Hist.,403-395,511/0 (511),Oath,Athens,Representatives,Hippias,unknown,The truce would be formalised,There would be not be a truce,unknown,unknown,yes,Hippias left Athens,unknown,[? That they would not molest Hippias if he left the city],spond,unknown,"Thucydides states that when Hippias was deposed as tyrant of Athens by the Spartans and the exiled Alcmaeonidae, he left Athens and retired under a truce to Sigeum."
743,Aristophanes,Thesmophoriazusae,741-742,literary,Comic.,411,411,Oath,Athens,Mica,Inlaw,n/a,n/a,n/a,unknown,unknown,yes,Gives solemnity to the statement,n/a,"[That she has carried the child/wineskin for ten months]
 <Καὶ> δέκα μῆνας αὔτ’ ἐγὼ 
  ἤνεγκον. 
{ΚΗ.}  Ἤνεγκας σύ;  
  {ΜΙ.}  Νὴ τὴν Ἄρτεμιν.",nh thn,Artemis,"Mica is saved from perjury thanks to the ambiguity of  ἤνεγκον (either ‘was pregnant with’ or ‘carried about’).  Or it may be, as Sommerstein suggests, that ‘[the] Inlaw supposes, or pretends to suppose, that she meant the word in the sense in which people not easily overcome by alcohol are said to “carry their drink well” (cf. Diophantus com. fr. 1)’, and that Mica’s answer is to be taken in this sense too."
1326,Herodotus,The Histories,4.68,literary,Hist.,428-415,During the lifetime of Herodotus ca.484 to ca.415 (484 to 415),Discussion,Scythia,Scythians,Scythians,n/a,n/a,n/a,n/a,n/a,n/a,n/a,see remarks,n/a,"omnu, ork, wrk",n/a,"Herodotus observes that when the Scythians swear ""the greatest oath"" (τὸν μέγιστον ὅρκον) it is customary to swear by the king's hearth. 
When the king falls ill it is generally assumed to be because someone has sworn falsely. 
Thus, diviners are summoned and they denounce such and such a man who has sworn falsely by the king's hearth. 
When he is brought in, the diviners accuse him, saying that their divination shows him to have sworn falsely by the king's hearth, and because of this the king is ill. After this the man complains loudly. 
When he denies the charge, the king sends for twice as many diviners. If they prove by divination that he is guilty, he is beheaded and his property is divided amongst the first diviners. 
If the new diviners acquit him, then yet other diviners and yet again other diviners are all called in. If the greater number acquit him, the first diviners are put to death."
313,Homer,Iliad,2.123-128,literary,Epic.,date uncertain,mythical time,Oath,Troy,n/a,n/a,Agamemnon,They can take a census,They cannot take a census,unknown,unknown,no,n/a,n/a,"[That they will abide by the terms of the truce]
 εἴ περ γάρ κ’ ἐθέλοιμεν ᾿Αχαιοί τε Τρῶές τε 
ὅρκια πιστὰ ταμόντες ἀριθμηθήμεναι ἄμφω,
Τρῶας μὲν λέξασθαι ἐφέστιοι ὅσσοι ἔασιν,
ἡμεῖς δ’ ἐς δεκάδας διακοσμηθεῖμεν ᾿Αχαιοί,
Τρώων δ’ ἄνδρα ἕκαστοι ἑλοίμεθα οἰνοχοεύειν,
πολλαί κεν δεκάδες δευοίατο οἰνοχόοιο.",ork,n/a,"Agamemnon here makes a playful proposal for an treaty to be sworn by the Achaeans and the Trojans, while a census is taken to show that the Greeks are ten times as numberous as the Trojans."
3435,Demosthenes,Against Aristocrates,61,literary,Orat.,352,352,Oath,Athens,An imaginary objector,Euthycles,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That Euthycles is quibbling]
 ἀλλὰ νὴ Δία συκοφαντοῦμεν τὸ πρᾶγμα·",nh,Zeus,"Euthycles complains that Aristocrates' proposal is contrary to the homicide law which allows homicide in immediate self-defence, and imagines that someone will respond in this way to his complaint."
1408,Antiphanes,Unidentified Drama,fr. 230 K-A,literary,Comic.,387-322,387 to 322,Discussion,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ork,unknown,"This is a general reflection on placing no trust in oaths. A person who asks someone to take an oath, and who as a result is cheated, is thereby shown to be stupid because he trusted someone. The speaker is apparently a misanthrope who believes one should never trust anybody. Cf. oath ids 1416, 1433, 1446."
3065,Plato,Laches,193d9-10,literary,Phil.,399-388,424 to 418,Oath,Athens,Laches,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he does not think they are right to say that foolish endurance is courage  (andreia)]
 Καλῶς οὖν σοι δοκοῦμεν λέγειν;  {ΛΑ.} Μὰ τὸν Δί’, ὦ Σώκρατες, ἐμοὶ μὲν οὔ.",ma ton,Zeus,
1058,Aristophanes,Wasps,83,literary,Comic.,422,422,Oath,Athens,Sosias,Xanthias,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That Bdelycleon's father is not a compulsive entertainer]
  μὰ τὸν κύν’, ὦ Νικόστρατ’, οὐ φιλόξενος",ma ton,The dog,"Sommerstein ad loc. comments that this is ""a form of quasi-oath that allowed the speaker emotional release without actually invoking the name of a god"". Cf. also Birds 521 and Frogs 1374. Sommerstein also notes that the ""oath by the dog was a favourite with Socrates, at least the Platonic Socrates""; cf. oath id 2548 with references."
597,Aristophanes,Acharnians,207,literary,Comic.,425,425,Oath,Athens,see remarks,see remarks,Amphitheos,Peace for thirty years,Hostilities will continue,unknown,unknown,yes,Peace for thirty years,hostilities continue,[That they will abide by the terms of the agreement],spond,unknown,See oath id 590 for remarks and cross references.
2224,Xenophon,Lacedaemonian Politeia (except ch.14),11.4,literary,Hist.,386-371,During the experience of Xenophon (399 to 355),Oath,Sparta,A Spartan youth,The other members of the sworn band,unknown,He could be part of a sworn band,He could not be part of a sworn band,unknown,unknown,yes,see remarks,unknown,"[? That he would fight while he was alive, and would not regard being alive as more important than being free; that he would not leave his taxiarch or his enomotarch, whether he was alive or dead, and that he would bury the dead among his fellow-fighters, and that he would leave no-one unburied]",wmot,unknown,"Xenophon describes the Spartan military organisation as comprising six morai of cavalry and infantry, which each of the morai commanded by one polemarch, four lochagoi, eight pentekonteres and sixteen enomotarchs i.e. ""commanders of the sworn bands"". 
Xenophon goes on to say (in a slightly corrupt passage) that the morai form with the enomotiai sometimes two, three or six abreast. 
See also oath id 1272."
2674,Aeschines,Against Ctesiphon,99,literary,Orat.,330,341/0 (341),Oath,Athens,Demosthenes,Athenians in the assembly,n/a,unknown,unknown,unknown,Destruction of self,yes,see remarks,see remarks,"[That, as a result of his recent diplomatic activity, large Peloponnesian and Acarnanian forces would be ready to serve under Athenian leadership against Philip by the 16th of Anthesterion 341/0]
 Ἦν δ’ αὐτῷ κεφάλαιον τῶν λόγων πάντας μὲν Πελοποννησίους ὑπάρχειν, πάντας δ’ Ἀκαρνᾶνας συντεταγμένους ἐπὶ Φίλιππον ὑφ’ ἑαυτοῦ, εἶναι δὲ τὸ 
σύνταγμα χρημάτων μὲν εἰς ἑκατὸν νεῶν ταχυναυτουσῶν πληρώματα καὶ εἰς πεζοὺς στρατιώτας μυρίους καὶ ἱππέας χιλίους, ὑπάρξειν δὲ πρὸς τούτοις καὶ τὰς πολιτικὰς δυνάμεις, ἐκ Πελοποννήσου μὲν πλέον ἢ δισχιλίους ὁπλίτας, ἐξ Ἀκαρνανίας δὲ ἑτέρους τοσούτους· δεδόσθαι δὲ ἁπάντων τούτων τὴν ἡγεμονίαν ὑμῖν· πραχθήσεσθαι δὲ αὐτὰ οὐκ εἰς μακράν, ἀλλ’ εἰς τὴν ἕκτην ἐπὶ δέκα τοῦ ἀνθεστηριῶνος μηνός·",ork,unknown,"Aeschines alleges that whereas all other braggarts try to make vague and imprecise statements when they tell lies because they fear refutation, Demosthenes, when making grandiose statements, first adds an oath to his lies, calling down destruction on himself, and secondly has the nerve to give a date for events he knows will never happen and provides the names of people he has not seen in person, deceiving all hearers and mimicking the manner of people telling the truth. 
This passage clearly refers specifically to Demosthenes' speech supporting the alliance with Callias. This was the occasion when D. allegedly gave the date of a future event he knew would never happen, saying that, as a result of his recent diplomatic activity, large Peloponnesian and Acarnanian forces would be ready to serve under Athenian leadership against Philip by the 16th of Anthesterion 341/0 (Aeschines 3.97-98).  Aeschines must be claiming that D. backed this statement (or some part of it) by an oath explicitly calling down destruction on himself.  In fact forces from some states in these areas (Corinth and Achaea - also Leucas and Corcyra from the north-west) did serve on the Athenian side in the ensuing war.  Aeschines may well be trying to give the impression that the claims Demosthenes made, and particularly those which he backed by oath, were more comprehensive than they actually were.  The 16th of Anthesterion was apparently the date envisaged for a congress of the new alliance at Athens, which does not in fact appear to have been held."
,,,,,,,,,,,,,,,,,,,,,,,
2361,Andocides,On the Mysteries,107,literary,Orat.,400/399,490,Oath,Athens,Citizens,Citizens,unknown,unknown,unknown,unknown,unknown,n/a,see remarks,unknown,[? That they would fight together against the Persians],ork,unknown,"Andocides tells the jurors that when the King of Persia invaded Greece, their forefathers, realising the size of the King's army, decided to recall exiles, re-enfranchise the disfranchised, and make safety and dangers common to all. When they had done this, and exchanged pledges and great oaths, they resolved to meet the barbarians at Marathon. 
Andocides states that they fought and conquered, freed Greece and saved their own country. 
Andocides has combined the two Persian invasions of Greece in 490 and 480-479. There is no other evidence for an oath being sworn prior to Marathon, nor is there any evidence of a recall of exiles in 490. 
Andocides is intending the oath to be seen as an oath of reconciliation like that in 403/2. He emphasises the parallel between this fictitious oath of reconciliation and the oaths of 403/2 in section 107."
981,,IC IV,"41, col V, lines 1-3",inscriptional,Public,beginning of fifth century,Beginning of fifth century (499 to 475),Oath,Gortyn,unknown,unknown,unknown,unknown,He is to pay the simple (amount),unknown,unknown,n/a,unknown,unknown,The statement is unknown.,omos,unknown,"The text indicates that if someone does not swear an oath he will have to pay the simple amount (α[ἰ δέ] κα̣ μὴ ὀμόσει, τὸ ἀπλό<ο>ν καταστασεῖ.)"
2731,Plato,Laws,949a,literary,Phil.,357-347,fictional time,Oath,Magnesia,Voter,World at large,unknown,He will be allowed to vote,He will not be allowed to vote,unknown,unknown,yes,New public officials are voted in fairly,unknown,[That he will vote fairly and according to the laws],ork,unknown,"Other types of judge are also to swear oaths- trial judges, judges of music and physical contests (see oath ids 2730, 2732, 2733) as well as anyone else who does not bring any gain to himself by committing perjury."
3823,Demosthenes,On the False Embassy,317-318,literary,Orat.,343,346,Oath,"Athens, Pella",Philip of Macedon; Philip of Macedon's representatives; Representatives; Representatives of the allies of Athens,Philip of Macedon; Philip of Macedon's representatives; Representatives; Representatives of the allies of Athens,Philocrates,Peace and alliance formalised,Hostilities will continue,unknown,unknown,yes,see remarks,unknown,"[? That they would abide by the following terms:
1. both parties recognised the territory of the other;
2. there was to be an alliance and peace between Philip and the Athenians, with no time limit;
3. the peace and the alliance was to be binding to the allies of both parties;
4. the seas were to be kept safe i.e. neither party was to support pirates]",ork,unknown,"Demosthenes argues that Philip did not want to accept the Phocians as allies of Athens, for if he swore oaths of alliance to them along with the Athenians he would be immediately compelled to break his oaths to the Thessalians and Thebans (see oath id 3825-6). 
For other references to the Peace of Philocrates see also oath id 2517."
3570,Demosthenes,Against Boeotus 1,37,literary,Orat.,349-8,349-8 (349 to 348),Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,Zeus; Poseidon; Demeter,"Mantitheus tells the jurors that they will be fulfilling their oaths if they vote as he asks. 
For the details of the Heliastic oath see oath id 3494."
578,,IvO,"25, 11",inscriptional,Public,5th century,5th century (499 to 400),Oath,Chalcis,Representatives; Representatives of the other state,Representatives; Representatives of the other state,unknown,Their agreement would be formalised (?),There would not be an agreement,unknown,unknown,yes,unknown,unknown,[? That they would abide by the terms of the agreement],omnu,Apollo?,"This is an agreement between Chalcis (or a colony) and another state which cannot be identified.  The text is very fragmentary, but it is clear from line 11 that someone had to swear an oath (ὀμνύτω), presumably in order to ratify the agreement. In line 12 the text also indicates that something had to be taken to the altar of Pythian Apollo, which may indicate the location of the swearing of the oath."
3120,Plato,Gorgias,463d6-7,literary,Phil.,387-383,fictional time,Oath,Athens,Gorgias,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That not even he grasps what Socrates is saying]
 Μὰ τὸν Δία, ὦ Σώκρατες, ἀλλ’ ἐγὼ οὐδὲ αὐτὸς συνίημι ὅτι λέγεις.",ma ton,Zeus,"Gorgias is commenting on an exchange between Socrates and Polus, in which Socrates has just made the obscure statement that rhetoric is ""the image of a branch of politics"", a statement which Polus plainly does not understand but pretends he does. Gorgias, unlike Polus, is willing to admit his ignorance and ask the necessary questions."
128,Euripides,Hippolytus,960,literary,Trag.,428,mythical time,Discussion,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ork,n/a,"In his rhetorical question, Theseus sees no oath that Hippolytus can swear which would outweigh the proof of Phaedra's letter and death. See oath id 129."
2418,Xenophon,Cyropaedia,5.2.35,literary,Biogr.,394-353,fictional time,Oath,Assyria,Cyrus,Gobryas,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That they should conisder exactly how matters stand (concerning marching on Babylon)- i.e. that victory in battle is, and always has been, much more a matter of morale than of numbers]
 ἐκεῖνο μέντοι νὴ Δί’, ἔφη, σκεψώμεθα ἀκριβῶς ὅπως ἔχει.",nh,Zeus,
2048,Xenophon,Memorabilia 1b-2,1.4.4,literary,dialogue,385-371,date uncertain (415 to 401),Oath,Athens,Aristodemus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That the creators of living beings deserve greater admiration than those of witless images, if it is true that they make them by design and not by chance]
 Πότερά σοι δοκοῦσιν οἱ ἀπεργαζόμενοι εἴδωλα ἄφρονά τε καὶ ἀκίνητα ἀξιοθαυμαστότεροι εἶναι ἢ οἱ ζῷα ἔμφρονά τε καὶ ἐνεργά; Πολὺ νὴ Δία οἱ ζῷα",nh,Zeus,"The creators of ""witless images"" are painters and sculptors (such as Zeuxis and Polycleitus), whom Aristodemus has just said he admires for their expertise (sophia)."
1234,Aristophanes,Lysistrata,1185,literary,Comic.,411,411,Oath,Athens,Athenians; Spartans,Athenians; Spartans,Lysistrata,Their wives will have sex with them,Their wives will refuse to have sex with them,unknown,unknown,yes,peace,n/a,[That they will abide by the terms of the agreement],ork,unknown,Lysistrata suggests to the men that they exchange oaths and pledges with each other and then each can take his wife and go away. The treaty was discussed by the men at oath id 1220; cf. also ids 1238 and 1239.
3209,Demosthenes,Olynthiac 1,19,literary,Orat.,349,349,Oath,Athens,Demosthenes,Athenians in the assembly,n/a,n/a,n/a,n/a,n/a,yes,Emphasises the statement,n/a,"[That he is not proposing that they divert funds to pay for his proposed expeditionary force] 
 μὰ  Δί’ οὐκ ἔγωγε.",ma,Zeus,"Demosthenes tells the Athenians that they have ample funds to pay for their military needs but appropriate the money for themselves. He imagines that someone might object that he is proposing that they divert these funds to the military, but then swears that he is not. 
He then complains that the Athenians take all the available money and spend it on festivals, and says the only remaining way to raise funds (though others may have other suggestions) is an eisphora.  It is true that he has not actually proposed that the money in the festival (theoric) fund should be diverted to military purposes, but he has made it clear enough that this is what he favours doing."
